id,medium
1035,"watercolour, ink, chalk and graphite on paper. verso: graphite on paper"
1036,graphite on paper
1037,graphite on paper. verso: graphite on paper
1038,graphite on paper
1039,line engraving on paper
1040,line engraving on paper
1041,line engraving on paper
1042,line engraving on paper
1043,line engraving on paper
1044,line engraving on paper
1045,line engraving on paper
1046,line engraving on paper
1047,line engraving on paper
1048,line engraving on paper
1049,line engraving on paper
1050,line engraving on paper
1051,line engraving on paper
1052,line engraving on paper
1053,line engraving on paper
1054,line engraving on paper
1055,line engraving on paper
1056,line engraving on paper
1057,line engraving on paper
1058,line engraving on paper
1059,line engraving on paper
1060,line engraving on paper
1061,line engraving on paper
1062,line engraving on paper
1063,line engraving on paper
1064,line engraving on paper
1065,line engraving on paper
1066,line engraving on paper
1067,graphite on paper. verso: graphite on paper
1068,relief etching and watercolour on paper
1069,relief etching on paper
1070,relief etching on paper
1071,relief etching on paper
1072,relief etching on paper
1073,relief etching on paper
1074,graphite on paper. verso: graphite on paper
1075,graphite and watercolour on paper
1076,graphite on paper
1077,graphite on paper. verso: graphite on paper
1078,graphite on paper. verso: graphite on paper
1079,ink on paper. verso: graphite on paper
1080,graphite on paper
1081,graphite on paper. verso: graphite on paper
1082,graphite on paper. verso: graphite on paper
1083,graphite on paper. verso: graphite on paper
1183,graphite on paper
1505,watercolour on paper
1506,watercolour on paper
1507,watercolour on paper
1508,watercolour on paper
1509,watercolour on paper
1510,watercolour on paper
1695,graphite on paper
1696,graphite on paper
1697,graphite on paper
1698,graphite on paper
1699,graphite and watercolour on paper
1700,graphite and watercolour on paper
1701,graphite on paper
1702,graphite on paper
1703,charcoal and graphite on paper. verso: graphite on paper
1704,graphite on paper
1705,graphite on paper
1706,chalk on paper
1707,chalk on paper
1708,graphite on paper
1709,graphite on paper
1710,graphite on paper
1711,graphite on paper
1712,charcoal and graphite on paper
1713,charcoal and graphite on paper
1714,charcoal and graphite on paper
1715,charcoal and graphite on paper
1716,graphite on paper
1717,graphite on paper
1718,graphite on paper
1719,graphite on paper
1720,graphite on paper
1721,graphite on paper. verso: graphite on paper
20228,graphite on paper. verso: graphite on paper
1722,graphite on paper
1723,graphite on paper
1724,graphite on paper
1725,graphite on paper
1726,graphite on paper
1727,graphite and chalk on paper
1728,graphite and chalk on paper
1729,graphite on paper
1730,graphite on paper
1731,graphite on paper
1732,graphite on paper
1733,graphite on paper
1734,graphite on paper
1735,graphite on paper
1736,graphite on paper
20230,graphite and chalk on paper
1737,graphite on paper
1738,graphite on paper
1739,graphite on paper
20231,graphite on paper. verso: graphite on paper
1740,graphite on paper
1741,graphite on paper
20233,graphite on paper. verso: graphite on paper
1742,graphite on paper
1743,graphite on paper
1744,graphite on paper
1118,wood engraving on paper
19411,wood engraving on paper
19412,wood engraving on paper
19413,wood engraving on paper
19414,wood engraving on paper
19415,wood engraving on paper
19416,wood engraving on paper
19417,wood engraving on paper
19418,wood engraving on paper
19419,wood engraving on paper
19420,wood engraving on paper
19421,wood engraving on paper
19422,wood engraving on paper
19423,wood engraving on paper
19424,wood engraving on paper
19425,wood engraving on paper
19426,wood engraving on paper
1762,graphite on paper
1763,graphite and watercolour on paper
