id,title
1035,a figure bowing before a seated old man with his arm outstretched in benediction verso indecipherable sketch
1036,two drawings of frightened figures probably for ‘the approach of doom’
1037,the preaching of warning verso an old man enthroned between two groups of figures by william blake
1038,six drawings of figures with outstretched arms
1039,the circle of the lustful francesca da rimini ‘the whirlwind of lovers’
1040,ciampolo the barrator tormented by the devils
1041,the baffled devils fighting
1042,the sixfooted serpent attacking agnolo brunelleschi
1043,the serpent attacking buoso donati
1044,the pit of disease the falsifiers
1045,dante striking against bocca degli abati
1046,job and his family
1047,satan before the throne of god
1048,job’s sons and daughters overwhelmed by satan
1049,the messengers tell job of his misfortunes
1050,satan going forth from the presence of the lord and job’s charity
1051,satan smiting job with sore boils
1052,job’s comforters
1053,job’s despair
1054,the vision of eliphaz
1055,job rebuked by his friends
1056,job’s evil dreams
1057,the wrath of elihu
1058,the lord answering job out of the whirlwind
1059,when the morning stars sang together
1060,behemoth and leviathan
1061,the fall of satan
1062,the vision of christ
1063,job’s sacrifice
1064,every man also gave him a piece of money
1065,job and his daughters
1066,job and his family restored to prosperity
1067,sketch for ‘the four and twenty elders casting their crowns before the divine throne’ verso standing figure with arms at his side
1068,‘europe’ fragment of pages 3 and 4
1069,songs of innocence and of experience infant sorrow
1070,‘songs of innocence and of experience’ ‘infant sorrow’
1071,‘songs of innocence and of experience’ ‘spring’
1072,‘songs of innocence’ titlepage
1073,‘songs of innocence’ titlepage
1074,sketch for ‘tiriel supporting the dying myratana’ verso sketch for ‘tiriel supporting the dying myratana’
1075,landscape near felpham
1076,two figures in a decorative border
1077,preliminary sketch for ‘christ girding himself with strength’ verso standing figure with one arm raised
1078,lower half of a woman playing a harp verso seraphim and other drawings
1079,st christopher copy from an engraving versopart of a face copy from a plaster cast a daughter of niobe
1080,the crucifixion
1081,composition sketch possibly a subject from dante verso a man standing over a figure reclining on a bed
1082,composition sketch verso standing figure holding a spear
1083,composition sketch for ‘the fall of the rebel angels’ verso standing figure with flaming hair
1183,tracing of titlepage of blake’s ‘book of job’
1505,title not known
1506,title not known
1507,title not known
1508,title not known
1509,title not known
1510,title not known
1695,study of a woman’s head
1696,study of a sleeping woman’s head possibly for ‘the rose bower’ in the ‘briar rose’ series
1697,study of a man’s head
1698,study of a girl’s head
1699,study of a standing woman for ‘the passing of venus’
1700,study of a seated woman for ‘the passing of venus’
1701,study of seated figure for ‘the garden court’ in the ‘briar rose’ series
1702,study of seated figure for ‘the garden court’ in the ‘briar rose’ series
1703,figure study for ‘the rose bower’ briar rose series verso study of the head of merlin for ‘the beguiling of merlin’
1704,three studies for ‘the beguiling of merlin’
1705,studies of a sleeve
1706,kneeling woman
1707,stooping woman
1708,study of a female head for ‘the hours’
1709,female head
1710,ruth and boaz
1711,the finding of moses
1712,st alban
1713,st aidan
1714,st oswald
1715,st boniface
1716,study of the head of tristram for ‘the madness of sir tristram’
1717,two studies of tristram for ‘the madness of sir tristram’
1718,roundel with the head of a warrior
1719,roundel with the head of a woman
1720,roundel with the head of a woman
1721,composition study for ‘the merciful knight’ verso study for a nativity
20228,composition study for ‘the merciful knight’ verso composition study for ‘st valentine’s day’
1722,composition study for ‘the merciful knight’
1723,nude study of knight for ‘the merciful knight’
1724,nude study of the knight for ‘the merciful knight’
1725,study of knight for ‘the merciful knight’
1726,nude study of knight for ‘the merciful knight’
1727,study of a seated male nude for ‘the liberation of st peter’ in the church of st michael and all angels lyndhurst hampshire
1728,two studies of a seated male nude for ‘the liberation of st peter’ in the church of st michael and all angels lyndhurst hampshire
1729,study for ‘blind love’
1730,study for ‘blind love’
1731,study of a male figure for ‘clerk saunders’
1732,study of a seated woman for ‘the hours’
1733,study of a reclining figure
1734,head of a girl
1735,two studies for the head of the king in ‘king cophetua and the beggar maid’
1736,head of a woman georgiana burnejones
20230,study of heads for a pietà
1737,head of a girl
1738,figure study
1739,study of the head of a female attendant for ‘the adoration of the kings’
20231,study of iseult for ‘the marriage of sir tristram’ verso figure of sir tristram
1740,composition study for ‘clerk saunders’
1741,head of a man
20233,study for tile of the ‘story of beauty and the beast’ verso study for ‘wine of circe’
1742,study for ‘pluto and proserpine listening to the music of orpheus’
1743,sketch of two seated figures ‘chant d’amour’
1744,sketch of two seated figures for ‘the backgammon players’
1118,frontispiece thenot and colinet
19411,thenot remonstrates with colinet
19412,thenot and colinet converse seated between two trees
19413,thenot remonstrates with colinet lightfoot in the distance
19414,thenot with colinet waving his arms in sorrow
19415,the blighted corn
19416,‘nor fox nor wolf nor rat among our sheep’
19417,sabrina’s silvery flood
19418,colinet’s ‘fond desire strange lands to know’
19419,‘a rolling stone is ever bare of moss’
19420,colinet rests by a stream at night
19421,colinet with his shepherd’s pipe mocked by two boys
19422,‘for him our yearly wakes and feasts we hold’
19423,thenot and colinet folding their flocks together at sunset
19424,thenot and colinet at supper
19425,‘with songs the jovial hinds return from plow’
19426,‘and unyok’d heifers loitering homeward low’
1762,studies for a nativity
1763,design for a window ethelbert
1764,design for a window st james the greater
1915,frankfurt
1916,frauenkirche nuremberg
1917,giessen
1918,prague
1919,frauenkirche prague
1920,cochem
1921,maximilianstrasse augsburg
1922,haupt markt and st sebald nuremberg
1923,markt coburg
1924,coburg
1925,frankfurt
